Date,Site.Name,COUNTY,SITE_LONGITUDE,SITE_LATITUDE,Year,Month,PM2.5,Ozone
2-05-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,2,5,32,NA
2-05-20,West Johnston Co.,Johnston,-78.4622,35.59095,2,5,32,38
2-06-20,Bryson City,Swain,-83.442133,35.434767,2,6,60.5,NA
2-06-20,Castle Hayne,New Hanover,-77.838611,34.364167,2,6,28.5,NA
2-06-20,Clemmons Middle,Forsyth,-80.342,36.026,2,6,37.5,NA
2-06-20,Durham Armory,Durham,-78.904037,36.0329550008979,2,6,51,33
2-06-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,2,6,NA,36
2-06-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,2,6,40.666666666666664,22.5
2-06-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,2,6,37,NA
2-06-20,Leggett,Edgecombe,-77.5843,35.988278,2,6,36,39
2-06-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,2,6,38,NA
2-06-20,Millbrook School,Wake,-78.574167,35.856111,2,6,54.333333333333336,33.5
2-06-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,2,6,45,NA
2-06-20,West Johnston Co.,Johnston,-78.4622,35.59095,2,6,44.5,37
2-07-20,,Hyde,-76.2071654064174,35.4510904272765,2,7,20,NA
2-07-20,Bryson City,Swain,-83.442133,35.434767,2,7,31,NA
2-07-20,Castle Hayne,New Hanover,-77.838611,34.364167,2,7,16.5,NA
2-07-20,Clemmons Middle,Forsyth,-80.342,36.026,2,7,24,NA
2-07-20,Durham Armory,Durham,-78.904037,36.0329550008979,2,7,35,30
2-07-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,2,7,2,34
2-07-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,2,7,28.25,28
2-07-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,2,7,25.666666666666668,NA
2-07-20,Leggett,Edgecombe,-77.5843,35.988278,2,7,32,31
2-07-20,Linville Falls,Avery,-81.933072,35.972347,2,7,9,NA
2-07-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,2,7,28.5,NA
2-07-20,Millbrook School,Wake,-78.574167,35.856111,2,7,41,31.5
2-07-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,2,7,33.5,NA
2-07-20,West Johnston Co.,Johnston,-78.4622,35.59095,2,7,42.5,NA
2-08-20,,Hyde,-76.2071654064174,35.4510904272765,2,8,21,NA
2-08-20,Bryson City,Swain,-83.442133,35.434767,2,8,22.5,NA
2-08-20,Castle Hayne,New Hanover,-77.838611,34.364167,2,8,16.5,39
2-08-20,Clemmons Middle,Forsyth,-80.342,36.026,2,8,22,NA
2-08-20,Durham Armory,Durham,-78.904037,36.0329550008979,2,8,40.333333333333336,39
2-08-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,2,8,7,44
2-08-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,2,8,33.75,34
2-08-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,2,8,26.75,NA
2-08-20,Leggett,Edgecombe,-77.5843,35.988278,2,8,31.5,40
2-08-20,Linville Falls,Avery,-81.933072,35.972347,2,8,8,NA
2-08-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,2,8,25.5,NA
2-08-20,Millbrook School,Wake,-78.574167,35.856111,2,8,42.75,34
2-08-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,2,8,31.5,NA
2-08-20,West Johnston Co.,Johnston,-78.4622,35.59095,2,8,30,NA
2-09-20,Bryson City,Swain,-83.442133,35.434767,2,9,29,NA
2-09-20,Castle Hayne,New Hanover,-77.838611,34.364167,2,9,13,36
2-09-20,Clemmons Middle,Forsyth,-80.342,36.026,2,9,32.5,NA
2-09-20,Durham Armory,Durham,-78.904037,36.0329550008979,2,9,41.5,35
2-09-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,2,9,NA,46
2-09-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,2,9,23.333333333333332,36
2-09-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,2,9,35,NA
2-09-20,Leggett,Edgecombe,-77.5843,35.988278,2,9,17.5,34
2-09-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,2,9,37,NA
2-09-20,Millbrook School,Wake,-78.574167,35.856111,2,9,35,36
2-09-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,2,9,10,NA
2-09-20,West Johnston Co.,Johnston,-78.4622,35.59095,2,9,31,NA
2-10-20,,Hyde,-76.2071654064174,35.4510904272765,2,10,13,NA
2-10-20,Bryson City,Swain,-83.442133,35.434767,2,10,36.5,NA
2-10-20,Castle Hayne,New Hanover,-77.838611,34.364167,2,10,6.5,38
2-10-20,Clemmons Middle,Forsyth,-80.342,36.026,2,10,36.5,NA
2-10-20,Durham Armory,Durham,-78.904037,36.0329550008979,2,10,40,32
2-10-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,2,10,1,44
